"datasetName","decimalLongitude","decimalLatitude","depth","scientificName"
"gbif",-53.5333333333333,7,850,"Barbourisia rufa"
"gbif",113.68666,-21.87999,NA,"Barbourisia rufa"
"gbif",-124.210516,41.748746,NA,"Barbourisia rufa"
"gbif",-124.933333,43.85,NA,"Barbourisia rufa"
"gbif",145.3483333,41.04333333,NA,"Barbourisia rufa"
"gbif",130.32499,-33.85833,NA,"Barbourisia rufa"
"gbif",-158.375,21.375,NA,"Barbourisia rufa"
"gbif",144.86,40.01,463,"Barbourisia rufa"
"gbif",150,23,NA,"Barbourisia rufa"
"gbif",-158.416,21.37499,NA,"Barbourisia rufa"
"gbif",133.95,30.583,NA,"Barbourisia rufa"
"gbif",141.15,-38.65,NA,"Barbourisia rufa"
"gbif",147.17799,-44.25166,NA,"Barbourisia rufa"
"gbif",-158.3,21.383,NA,"Barbourisia rufa"
"gbif",-54.1,7.86666666666667,830,"Barbourisia rufa"
"gbif",-124.833333,46.25,NA,"Barbourisia rufa"
"gbif",131.35,-33.87499,NA,"Barbourisia rufa"
"gbif",111.6575,-24.14249,NA,"Barbourisia rufa"
"gbif",112.865,-20.90416,NA,"Barbourisia rufa"
"gbif",116.716,-18.133,NA,"Barbourisia rufa"
"gbif",-177.02,-44.88,1199,"Barbourisia rufa"
"gbif",151.85,12.616,NA,"Barbourisia rufa"
"gbif",166.833,-20.833,NA,"Barbourisia rufa"
"gbif",158.5,32.5,NA,"Barbourisia rufa"
"gbif",44.173,-35.016,NA,"Barbourisia rufa"
"gbif",130.933,-33.90833,NA,"Barbourisia rufa"
"gbif",-147.85833,-14.916,NA,"Barbourisia rufa"
"gbif",123.55466,15.31341,NA,"Barbourisia rufa"
"gbif",158.2,32.266,NA,"Barbourisia rufa"
"gbif",151.866,12.55,NA,"Barbourisia rufa"
"gbif",144.366,-41.616,NA,"Barbourisia rufa"
"gbif",-166.4499969,54.4333305,NA,"Barbourisia rufa"
"gbif",131.75833,-33.82499,NA,"Barbourisia rufa"
"gbif",131.48366,-34.02499,NA,"Barbourisia rufa"
"gbif",148.72133,-47.16466,NA,"Barbourisia rufa"
"gbif",158.5,32.5,900,"Barbourisia rufa"
"gbif",113.14499,-21.99333,NA,"Barbourisia rufa"
"gbif",167.5,-17.5,NA,"Barbourisia rufa"
"gbif",43.82666,-15.02332,NA,"Barbourisia rufa"
"gbif",147.85,-47.15,NA,"Barbourisia rufa"
"gbif",-157.533,21.266,NA,"Barbourisia rufa"
"gbif",144.86,40.01,NA,"Barbourisia rufa"
"gbif",145.348333333333,41.0433333333333,663.5,"Barbourisia rufa"
"gbif",148.73766,-47.18116,NA,"Barbourisia rufa"
"gbif",-54.1,7.866666667,NA,"Barbourisia rufa"
"gbif",-124.958333,43.428333,NA,"Barbourisia rufa"
"gbif",144.3833333,41,NA,"Barbourisia rufa"
"gbif",113.14,-22.0083,NA,"Barbourisia rufa"
"gbif",143.83,-39.85,NA,"Barbourisia rufa"
"gbif",135.916,-34.733,NA,"Barbourisia rufa"
"gbif",-124.916667,45.083333,NA,"Barbourisia rufa"
"gbif",-124.966667,43.05,NA,"Barbourisia rufa"
"gbif",-123.595,38.185,NA,"Barbourisia rufa"
"gbif",-156.073838,19.619864,NA,"Barbourisia rufa"
"gbif",-125.05483,46.73783,NA,"Barbourisia rufa"
"gbif",45.948,-15.38167,NA,"Barbourisia rufa"
"gbif",131.3,-33.916,NA,"Barbourisia rufa"
"gbif",142.75944,13.85375,NA,"Barbourisia rufa"
"gbif",144.383333333333,41,663.5,"Barbourisia rufa"
"gbif",133.783,-34.733,NA,"Barbourisia rufa"
"gbif",-173.1833333,52.5166667,NA,"Barbourisia rufa"
"gbif",113.34266,-19.58749,NA,"Barbourisia rufa"
"gbif",12.50933,-7.781167,NA,"Barbourisia rufa"
"gbif",104.9666,-11.3513,NA,"Barbourisia rufa"
"gbif",14.5,-30.25,NA,"Barbourisia rufa"
"gbif",123.37944,14.69569,NA,"Barbourisia rufa"
"gbif",-94.3667,27.0167,NA,"Barbourisia rufa"
"gbif",-71.74166667,38.805,NA,"Barbourisia rufa"
"gbif",-158.33,21.33,NA,"Barbourisia rufa"
"gbif",145.538333333333,40.0016666666667,613.5,"Barbourisia rufa"
"gbif",133.9,-35.15,NA,"Barbourisia rufa"
"gbif",119.9166667,17.6666667,NA,"Barbourisia rufa"
"gbif",-93.55,22.8666667,NA,"Barbourisia rufa"
"gbif",-76.1933333,24.4366667,NA,"Barbourisia rufa"
"gbif",145.5383333,40.00166667,NA,"Barbourisia rufa"
"gbif",-168.7733333,19.8116667,NA,"Barbourisia rufa"
"gbif",-88.15833333,29.09166667,NA,"Barbourisia rufa"
"gbif",-53.53333333,7,NA,"Barbourisia rufa"
"gbif",-156.298,19.4233,NA,"Barbourisia rufa"
"gbif",-168.75,55.98333,NA,"Barbourisia rufa"
"gbif",-171.8666667,52.1,NA,"Barbourisia rufa"
"gbif",131.4,-33.966,NA,"Barbourisia rufa"
"gbif",-125.5,47.6666667,NA,"Barbourisia rufa"
"gbif",159.07,-53.87,NA,"Barbourisia rufa"
"gbif",-80.1,30.033333,NA,"Barbourisia rufa"
